,target,doc
0,1,5. [Attachment through template specialisation](https://godbolt.org/z/RjZn170) (@Innokentiy-Alaytsev)
1,1, * SMTChecker: Add loop support to the CHC engine.
2,1,**To Reproduce**
3,1,See for examp.e this build log here: https://travis-ci.org/foonathan/type_safe/jobs/197372853
4,1,and the new identity need to be accepted.
5,1,**Environment (please complete the following information):**
6,1,## Type of Issue
7,1,Catch2 does not report the text of unexpected exceptions (`ex.what()`) on the console.
8,1,--> log file:
9,0,"  Device: usb 0x0002 ""2.0 root hub"""
10,1,station.
11,1,members of the reflected types.
12,1,* Added missing source files extensions setting to the Edit Project dialog [#132](https://github.com/CoatiSoftware/Sourcetrail/issues/132)
13,1,"an interesting problem, rather than being redirected to Stack Overflow."
14,1,- Compiler version: `0.5.5+commit.47a71e8f.Linux.clang`
15,1,This is my `CMakeLists.txt`:
16,1,Correct compilation because of the different signatures the getter of the balance variable and the balance function have.
17,0,#### __init__()
18,1,* Added a new `DisparityMapConverter` class for converting disparity maps into
19,1,GS: MLB Power Pros crash
20,1,**Additional information**
21,1,"You can see the BinaryKeysetReader initialized using NSData. What I want to know is, how do I generate this data of a keyset? "
22,1,## Steps to Reproduce
23,1,"[run the Docker](https://docs.docker.com/engine/reference/run/) container,"
24,1,- hard-code their cost function
25,1,"OpenRCT2, v0.3.4.1 (also very likely v0.3.5.1)"
26,1,when compiled with solc
27,1,*  MAC via `TINKMacFactory`
28,0,* [[pcl]]
29,1,2. Runtime speed up while keeping most of the accuracy:
30,1,- The bar `|` separates label related data (what we want to predict) from features (what we always know).
31,1,Consider enhancing documentation on groups when assigning in loop
32,1,92 #include <ws2tcpip.h>
33,1,- [Win32] Bugfix: Returned key names did not match other platforms (#943)
34,1,"And it imports `predict_pb2`,  which also depends on tensorflow."
35,1,"The `DEK length` is 4 bytes, storing the length of the `encrypted DEK` as a"
36,1,Compiler: `0.7.4` 
37,1,But I got the following compilation error:
38,1,### Expected behavior
39,1,submit a tx for saveBlockHash with that same blockNumber as argument
40,1,Here is a github take on this:
41,1,"predictions via the REST API results in a `""""Timed out waiting for notification""""` error."
42,1,command port. The registration port should be connected to the
43,1,### GDB/CDB Backtrace (for crashes)
44,1,the serialized packet type.
45,1,"- `-a YOURWALLETADDRESS` Set the coinbase, where the mining rewards will go to. The above address is just an example. This argument is really important, make sure to not make a mistake in your wallet address or you will receive no ether payout."
46,1,2_deploy_contract.js
47,1,### Exact Steps to Reproduce
48,1,* Fixed issue where black borders appeared around dialogs for some Linux window managers (issue [#376](https://github.com/CoatiSoftware/Sourcetrail/issues/376))
49,1,When I use `eth` to synchronise my node to the public blockchain. The fault happened as following:
50,1,* Graph: Group nodes in list layout by starting character and allow jumping to group by pressing the key
51,1,"I tried adding ""nolint"" comments to some place I believed were relevant but to no avail."
52,1,"But this slow down performance heavily, I tried other ways ( such as use the lambda style or create a second view for the other iterations ) but still no fortune."
53,1,"Sometimes you may want to run a test with a particular seed value,"
54,1,"Hi,"
55,0,x ** 2
56,1,## Description
57,1, detection trait
58,1,The `getResults` method is specific to my case and won't work for other cases.
59,1,"train.cfg details, on linux ubuntu 16.04"
60,1,Add add the model
61,1,* fixed a minor bug in `CorrespondenceRejectorSampleConsensus`: `getRemainingCorrespondences` tried to nput_ although it should only use the given input correspondences
62,1,Check [doc/installation/0_index.md#3d-reconstruction-module](../installation/0_index.md#3d-reconstruction-module) for installation steps.
63,1,#### Environment
64,1,I took a docker image from tensorflow/serving:latest-gpu which I copied my models as follows:
65,1,"Command ""python setup.py egg_info"" failed with error code 1 in /tmp/pip-build-OHsEIp/notebook/"
66,1,  * OS: ubuntu 1804
67,1,on this line https://github.com/ethereum/aleth/blob/master/libethereum/ClientTest.cpp#L92
68,1,- Framework/IDE (e.g. Truffle or Remix): N/A
69,1,**Source:** AppImage from github
70,1,Add member functions `cbegin()` and `cend()` to return `const_iterator` for pointclouds.
71,1,- Linux Ubuntu 16.04
72,1,* [x] mvDynamicTexture
73,1,further defined and clarified by project maintainers.
74,1,  * Adding a settings page ([#596](https://github.com/microsoft/calculator/issues/596))
75,1,All the values thus exported will appear to users as if they were constant data
76,1,**OS:** Fedora 28
77,1,"-- VTK_MAJOR_VERSION 7, rendering backend: OpenGL2"
78,1,- libboost-date-time-dev  (1.55)
79,1,Also probably using /usr instread of //usr helps ;)
80,1,`using PointedType = char;` with 
81,1,`ENTT_BUILD_TESTING=OFF` is set in the main project.
82,1,"cpp-ethereum installed fine, with only minor warnings:"
83,1,## Environment
84,1,Gas estimation failed
85,1,Contract that cannot receive calls from multisigs due to this bug:
86,1,+ Install [colonyNetwork](https://github.com/JoinColony/colonyNetwork)
87,1,"I tried to run it as sudo, with no success; the crash was triggered."
88,1,"depending on the wire format of the stored keyset, for example a"
89,1,"ResultBuilder::reconstructExpression() checks for impossible value: ""!"""
90,1,"* Furthermore, the registry makes heavy use of _type-erasure_ techniques"
91,1,"It is clear, the test was not run. Easy to fix, escape the square brackets:"
92,1,**Commit/Build:** 0a28b6e
93,1,somewhere within the _everything_ there are also our usage patterns. However
94,1,## 3) OpenGL
95,1,**Platform information:**
96,1,"Change the code to `Eigen::Vector4d((-cy * cz), (cy * sz), (-sy), 0.0f);`."
97,1,## Current Behavior
98,1,"have the same fully qualified name. In this case, also `type_name` will return"
99,1,"Currently, Solidity does not free memory automatically. I have tried a few examples, the ASM code generated by Solidity never subtracts the ""free memory pointer"" in memory location 0x40. This can be fixed by insert two instructions."
100,1,### Creating a Component Definition
101,1,   - **Operating system**: 
102,1,"info_, which usually is public data implicit from the context, but should be"
