,target,doc
0,0,  at org.apache.lucene.util.LuceneTestCase.expectThrows(LuceneTestCase.java:2744)
1,0,"17:25:20    1>         ""root_cause"" : ["
2,0,    at org.springframework.data.redis.connection.jedis.JedisConnectionFactory.getConnection(JedisConnectionFactory.java:251) ~[spring-data-redis-1.6.1.RELEASE.jar:1.6.1.RELEASE]
3,0,                boolean write = ii % 2 == 0;
4,0,    at org.elasticsearch.cli.Command.mainWithoutErrorHandling(Command.java:88)
5,0,"    for (int i = 0, n = emitters.size; i < n; i++) {"
6,0,    batch!!.begin()
7,0,com.google.common.base.Converter: can't find referenced class com.google.errorprone.annotations.concurrent.LazyInit
8,0,"		learningRateSchedule.put(400, 0.01);"
9,0,Invalid query: field 'translatedStringList' in class 'LocalizedString' is of invalid type 'LIST'.
10,0,"t1 (v) AS (VALUES 1),"
11,0,```
12,0,    @Bean
13,0,"      ""value"" : 398,"
14,0, Runtime aborting...
15,0,"              },"
16,0,```
17,0,2020-07-09 18:26:06.111 13217-13217/com.videoplayer.easylife4u D/ViewRootImpl@814bf6d[PlayerActivity]: ViewPostIme pointer 1
18,0,-Dgraalvm.locatorDisabled=true \
19,0,Caused by: org.hibernate.HibernateException: Access to DialectResolutionInfo cannot be null when 'hibernate.dialect' not set
20,0,    ./mvnw install -DskipTests
21,0,Audio channel layout: Stereo (L R)
22,0,        at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1130) [?:?]
23,0,1   libsystem_pthread.dylib       	0x00007fff20312e6f _pthread_cond_wait + 1254
24,0,}
25,0,"            ""start_time_in_millis"": 1459881018320,"
26,1,but was not.
27,0,    private final String principalName;
28,0,io.debezium.examples:kstreams-live-update-aggregator:jar:0.1-SNAPSHOT
29,0,  | »  	at org.elasticsearch.action.bulk.Retry$RetryHandler.onResponse(Retry.java:77) ~[elasticsearch-7.12.0-SNAPSHOT.jar:7.12.0-SNAPSHOT] |  
30,0,        at io.quarkus.creator.phase.runnerjar.RunnerJarPhase.provideOutcome(RunnerJarPhase.java:59)
31,0,        at com.squareup.moshi.Moshi.adapter(Moshi.java:150)
32,0,        <compiler-plugin.version>{maven-compiler-plugin.version}</compiler-plugin.version>
33,0,"       .initParameter(""confPath"", ""urlrewrite.xml"")"
34,0,            }
35,0,        at java.lang.Thread.run(Thread.java:834)
36,0,}
37,0,                    }
38,0,  at org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures$1.evaluate(TestRuleIgnoreAfterMaxFailures.java:64)
39,0,```
40,0,[ERROR] urls[75] = file:/C:/Users/PBDR10191/.m2/repository/com/fasterxml/jackson/dataformat/jackson-dataformat-yaml/2.12.3/jackson-dataformat-yaml-2.12.3.jar
41,0,"      ""type"": ""text"","
42,0,:CoreLib:compileLint
43,0,            {
44,0,2019-05-07 17:57:50.326 31833-32005/com.orange.es.androidtv E/ACodec: [OMX.MTK.VIDEO.DECODER.AVC.secure] setPortMode on output to DynamicANWBuffer failed w/ err -1010
45,0,"    ""message"": ""hello world"""
46,0,"      - ""9092:9092"""
47,0,      {
48,0,        at com.fasterxml.jackson.dataformat.yaml.YAMLFactory.createParser(YAMLFactory.java:321)
49,0,            entries.add(entry);
50,0,Removed beans:
51,0,	at org.jkiss.dbeaver.runtime.jobs.ConnectJob.runSync(ConnectJob.java:98)
52,0,"          ""ignore_above"": 50,"
53,0,    // WORKS!!!
54,0,	at org.eclipse.jetty.server.handler.StatisticsHandler.handle(StatisticsHandler.java:169)
55,0,"         ""properties"": {"
56,0,```kotlin
57,0,        Realm.setDefaultConfiguration(syncConfiguration);
58,0,"[2021-04-30T02:58:06,436][INFO ][org.elasticsearch.xpack.ilm.IndexLifecycleTransition] [instance-0000000001] moving index [metricbeat-7.6.0-2021.04.30-000219] from [{""phase"":""cold"",""action"":""complete"",""name"":""complete""}] to [{""phase"":""frozen"",""action"":""searchable_snapshot"",""name"":""branch-check-prerequisites""}] in policy [metricbeat]"
59,0,"        connectionProperties.setProperty(""nullCatalogMeansCurrent"", ""false"");"
60,0,		at io.netty.handler.ssl.SslHandler.channelInactive(SslHandler.java:1063)
61,0,```
62,0,at org.gradle.internal.remote.internal.hub.MessageHub$Handler.run(MessageHub.java:404)
63,0,```
64,0,0.1% (647.2micros out of 500ms) cpu usage by thread 'elasticsearch[es1][management][T#4]'
65,0,"            {""name"":""ByteBinary4Bit""}, "
66,0,            this.extractor = extractor;
67,0,   BootGlobalAuthenticationConfiguration matched:
68,0,```
69,0,2019-02-12 08:19:17.829  INFO 67639 --- [on(2)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
70,0,"    'main',     // main sample code; look here for the interesting stuff."
71,0,	at com.facebook.presto.sql.analyzer.ExpressionAnalyzer$Visitor.visitFunctionCall(ExpressionAnalyzer.java:268)
72,0,	at io.vertx.test.core.AsyncTestBase.await(AsyncTestBase.java:131)
73,0,	at org.eclipse.swt.widgets.Widget.notifyListeners(Widget.java:1196)
74,0,	at org.apache.catalina.startup.Tomcat.start(Tomcat.java:370)
75,0,"                  ""bcc"","
76,0,        at org.jboss.resteasy.core.MethodInjectorImpl.lambda$invoke$3(MethodInjectorImpl.java:122)
77,0,    }
78,0,	at com.sun.proxy.$Proxy2.stop(Unknown Source) ~[na:na]
79,0,"    lineitem_part3.extendedprice, "
80,0,	at sun.reflect.generics.repository.ClassRepository.getSuperclass(ClassRepository.java:90) ~[na:1.8.0_172]
81,0,	at org.elasticsearch.common.util.concurrent.AbstractRunnable.run(AbstractRunnable.java:37) ~[elasticsearch-5.3.1.jar:5.3.1]
82,0,	at org.junit.platform.engine.support.hierarchical.ThrowableCollector.execute(ThrowableCollector.java:73)
83,0,          into '/opt/app/eldorado-root/'
84,0,	at kotlin.ExceptionsKt__ExceptionsKt.addSuppressed(Exceptions.kt:48)
85,0,    at org.apache.catalina.connector.Connector.startInternal(Connector.java:1007)
86,0,[INFO] +- org.cache2k:cache2k-api:jar:1.0.1.Final:provided
87,0,"            ""term"" : { ""name.first"" : ""shay"" }"
88,0,"#             ""_id"" : ""20"","
89,0,                                                                                at android.os.HandlerThread.run(HandlerThread.java:61)
90,0,"      ""operator"": ""OR"""
91,0,    def tearDown(self):
92,0,"    public DeferredResult<String> start(final HttpServletResponse response,"
93,0,      // NOTE: delegate the permission handling to generated method
94,0,	at org.junit.platform.engine.support.hierarchical.NodeTestTask.execute(NodeTestTask.java:71)
95,0,"    logger.info( ""Updated session variable {} : {}"", SAMPLE_SESSION_VAR, curValue ) ;"
96,0,        list.add(number);
97,0,```
98,0,            <groupId>org.deeplearning4j</groupId>
99,0,PlayerNotificationManager.NotificationListener notificationListener = new PlayerNotificationManager.NotificationListener() {
100,0,"public abstract class Subscriber<T> implements Observer<T>, Subscription {"
101,0,"                .addOutputs(Nd4j.create(DataType.FLOAT, 10))"
102,0,	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
103,0,node.name: mes-any-log003-mes_any_log1
104,0,    at org.jkiss.dbeaver.registry.DataSourceDescriptor.initConnection(DataSourceDescriptor.java:639)
105,0,[DEBUG]       org.apache.maven.shared:maven-shared-utils:jar:3.0.1:compile
106,0,at org.apache.http.protocol.HttpRequestExecutor.doReceiveResponse(HttpRequestExecutor.java:273)
107,0,	at org.elasticsearch.cluster.node.DiscoveryNodeFilters.lambda$static$0(DiscoveryNodeFilters.java:58) ~[elasticsearch-5.5.1.jar:5.5.1]
108,0,SDVariable accuracy = ...;
109,0,	at io.quarkus.runtime.Application.start(Application.java:101)
110,0,        at java.util.concurrent.ForkJoinTask.getThrowableException(ForkJoinTask.java:598)
111,0,          <snapshots>
112,0,"                        ""type"": ""category"","
113,0,./libvpx/vp9/common/vp9_loopfilter.c:492: error: undefined reference to 'vpx_lpf_horizontal_4_neon'
114,0,}'
115,0,  elastic_net:
116,0,set1.setFillAlpha(65);
117,0,```
118,0,    <properties>
119,0,	at javax.servlet.http.HttpServlet.service(HttpServlet.java:742)
