,target,doc
0,0,  - files_versions: 1.2.0
1,0,Reading /Users/tobias/.composer/auth.json
2,0,     (vendor\symfony\symfony\src\Symfony\Component\Security\Http\Firewall\ContextListener.php:95)
3,0,"            ""lastupdateResult"": ""[]"","
4,0,"  ""customKey"": ["
5,0,  - files_pdfviewer: 1.3.2
6,0,| BC Break report? | ?
7,0,<?php
8,0,```
9,0,  - files_trashbin: 1.1.0
10,0,```
11,0,"    public static function current(array $params = [], $scheme = false)"
12,0,``` php
13,0,PHP   6. Illuminate\Foundation\Bootstrap\LoadConfiguration->loadConfigurationFiles() PATH/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/LoadConfiguration.php:37
14,0, - spreed
15,0,    - yiisoft/yii2 2.0.11.2 requires bower-asset/jquery.inputmask ~3.2.2 | ~3.3.3 -> no matching package found.
16,0,"    ""forcessl"": true,"
17,0,"        ""overwrite.cli.url"": ""http:\/\/192.168.0.60"","
18,0,```
19,0,```
20,0,User	Add Credit
21,0,    }
22,0,``` php
23,0,Checking github.com rate limit: OK
24,0,112M	files_versions
25,0,"        ""installed"": true,"
26,0,Loading config file C:/Users/undefined/AppData/Roaming/Composer/auth.json                                                                                                                                         
27,0,Undefined offset: 1 at /var/www/nextcloud/3rdparty/sabre/dav/lib/DAV/Xml/Element/Response.php#237
28,0,sonata-project/admin-bundle      3.44.0      requires  symfony/translation (^2.8 || ^3.2 || ^4.0)  
29,0,}
30,0,```
31,0,5.3+
32,0,"    },"
33,0,  - Updating symfony/translation (v4.1.3) to symfony/translation (v4.1.6)
34,0,"            ""created_by""=>""createdBy"","
35,0,"    <div class=""page-header"">"
36,0,```
37,0,  - cloud_federation_api: 0.1.0
38,0,"[Fri Jan 15 14:12:34.591799 2021] [autoindex:error] [pid 1799:tid 140422974252800] [client 209.17.96.106:35944] AH01276: Cannot serve directory /var/www/html/: No matching DirectoryIndex (index.html,index.php) found, and server-generated directory index forbidden by Options directive"
39,0,```
40,0,"nextcloud.tar.bz2 \ ""https://download.nextcloud.com/server/releases/nextcloud-${NEXTCLOUD_VERSION}.tar.bz2""; \"
41,0,"Time: 0 seconds, Memory: 4.00Mb"
42,0,class RestModule extends Module
43,0,    /**
44,0,"        ""symfony/phpunit-bridge"": ""^5.1"""
45,0,                        (
46,0,"	<result date=""2017-05-16"">428</result>"
47,0,Checking github.com rate limit: OK
48,0,| ldapBackupPort                |                                                             |
49,0,"    ""license"": ""MIT"","
50,0,              ╗    F8     êÅp|╔  Éiæf¹          §      ╝       ²§      ╝       Z1.|╔
51,0,"        ""args"": ["
52,0,```php
53,0,  {
