,target,doc
0,1,**Description**  
1,1,### What steps will reproduce the problem?
2,1,If you import when the ID is Autoincrement it works perfectly but when changing the ID to UUID not working on imports return an error 
3,1,- Composer support.
4,1,Here are the user's permissions:
5,1,E.g. I'm passing a string value with an underscore character to the like predicate:
6,1,### Expected behaviour
7,1,index.php
8,1,Deprecation causes unexpected ErrorException
9,1,**Browser:**
10,1,send @ jquery.js:8630
11,1,No
12,1,"PS: If this is dumb, I'm honestly sorry for taking up your time."
13,1,Original function is found here: https://github.com/yiisoft/yii2/blob/master/framework/yii/helpers/BaseHtml.php#L122
14,1,[Bridge][PHPUnit] Version installed in the PHPUnit clone is not the same installed in the project
15,1,I don't suspect a problem with network connectivity or slowness:
16,1,How to add one template in multiple sheets phpspreadsheet
17,1,Stack trace:
18,0,"  'dbtableprefix' => 'oc_',"
19,1,2globals.js:60 jQuery is deprecated: The global jQuery is deprecated. It will be updated to v3.x in Nextcloud 21. In later versions of Nextcloud it might be removed completely. Please ship your own.
20,1,  - gallery: 18.1.0
21,1,First thing I noticed is that the actual SQL query (in Symfony\Component\Security\Acl\Dbal\AclProvider::getLookupSql()) does not take the SecurityIdentities into account. Not sure if that has anything to do with my problem.
22,1,1. Upload a large video (3.6 GB in my case)
23,1,- PHP Version: 7.1
24,1,And more...
25,1,"4. Set up an empty database, MariaDB for example"
26,1,php: 7.1
27,1,  - activity: 2.3.2
28,1,  * Fixed support for new GitHub OAuth token format
29,1,No emails from custom schedule jobs 1.7-rc20
30,1,  - user_ldap: 1.5.0
31,1,### Database engine version
32,1,**Web server:** I guess it uses apache in the snap? Didn't check that though.
33,1,Or is there some other way that I didn’t find?
34,1,Security issue : Piwik installed on a distant server tracks pages and visits from locally opened files (as file://)
35,1,Upgrading from grav v1.0.10
36,1,"**Are you using an external user-backend, if yes which one:** LDAP/ActiveDirectory/Webdav/..."
37,1,### What is the expected result?
38,1,Yii communities listed at https://github.com/yiisoft/yii2/wiki/communities
39,1,Remy
40,1,The PDF don't has the condtional bold formatting. Like shown in the following image:
41,1,"To add more weirdness, if I am on the web server that is unable to send email from Wordpress, I can use telnet to connect to the mail server and send email.  Of course, I can also ping the mail server from the webserver."
42,1,"As `server:run` doesn't return the user to the regular shell, he/she needs to open another console or he/she needs to launch the command in the background (`server run &`)."
43,1,the attributes appear in the template but not the variables.
44,1, -v
45,1,The app name is used to require_once the app.php
46,1,"I have Composer integration that automatically generates `composer.json` file, here is an example:"
47,1,We cannot use [`LogoutUrlHelper`](https://github.com/symfony/symfony/blob/2b9c142f07b7dbc11d4d392b77629fa91a5dcb41/src/Symfony/Bundle/SecurityBundle/Templating/Helper/LogoutUrlHelper.php) correctly.
48,1,outputs
49,1,**Operating system:**
50,1,"The result is THE SAME, which does not make any sense to me:"
51,1,  - lookup_server_connector: 1.8.0
52,1,Tell us what should happen
