,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
110,110.0,7.0,0.0,- Driver name: org.mariadb.jdbc:mariadb-java-client:RELEASE - Version  2.4.3,dbeaver_dbeaver_issues_12232,110.0,7,1.0,- Driver name: org.mariadb.jdbc:mariadb-java-client:RELEASE - Version  2.4.3,dbeaver_dbeaver_issues_12232
160,160.0,3.0,0.0,See: https://github.com/deeplearning4j/deeplearning4j/pull/6782#issuecomment-442302121,eclipse_deeplearning4j_issues_6796,160.0,3,1.0,See: https://github.com/deeplearning4j/deeplearning4j/pull/6782#issuecomment-442302121,eclipse_deeplearning4j_issues_6796
255,255.0,8.0,0.0,[OS that we support](https://www.elastic.co/support/matrix#show_os).,elastic_elasticsearch_issues_24192,255.0,8,1.0,[OS that we support](https://www.elastic.co/support/matrix#show_os).,elastic_elasticsearch_issues_24192
265,265.0,18.0,1.0,**Elasticsearch version**: 5.2.2,elastic_elasticsearch_issues_24192,265.0,18,0.0,**Elasticsearch version**: 5.2.2,elastic_elasticsearch_issues_24192
266,266.0,19.0,1.0,"**Plugins installed**: x-pack, repository-gcs, custom update plugin",elastic_elasticsearch_issues_24192,266.0,19,0.0,"**Plugins installed**: x-pack, repository-gcs, custom update plugin",elastic_elasticsearch_issues_24192
267,267.0,20.0,1.0,**JVM version**: 1.8.0_121,elastic_elasticsearch_issues_24192,267.0,20,0.0,**JVM version**: 1.8.0_121,elastic_elasticsearch_issues_24192
268,268.0,21.0,1.0,**OS version**: Debian 8.7,elastic_elasticsearch_issues_24192,268.0,21,0.0,**OS version**: Debian 8.7,elastic_elasticsearch_issues_24192
534,534.0,107.0,0.0,- Construct `AuthorizationEnabledServlet`,prestodb_presto_issues_14639,534.0,107,1.0,- Construct `AuthorizationEnabledServlet`,prestodb_presto_issues_14639
548,548.0,121.0,0.0,- `AuthorizationEnabledServlet` (Construct `allowedRoles` within constructor),prestodb_presto_issues_14639,548.0,121,1.0,- `AuthorizationEnabledServlet` (Construct `allowedRoles` within constructor),prestodb_presto_issues_14639
606,606.0,1.0,0.0,Build url: https://elasticsearch-ci.elastic.co/job/elastic+elasticsearch+6.x+multijob-unix-compatibility/os=amazon/1176/console,elastic_elasticsearch_issues_32000,606.0,1,1.0,Build url: https://elasticsearch-ci.elastic.co/job/elastic+elasticsearch+6.x+multijob-unix-compatibility/os=amazon/1176/console,elastic_elasticsearch_issues_32000
624,624.0,19.0,0.0,Build logs:,elastic_elasticsearch_issues_32000,624.0,19,1.0,Build logs:,elastic_elasticsearch_issues_32000
635,635.0,6.0,0.0,"For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html",SeleniumHQ_selenium_issues_8216,635.0,6,1.0,"For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html",SeleniumHQ_selenium_issues_8216
641,641.0,12.0,0.0,"*** Element info: {Using=xpath, value=//span[normalize-space()='Supply of alcoholic beverages']}`",SeleniumHQ_selenium_issues_8216,641.0,12,1.0,"*** Element info: {Using=xpath, value=//span[normalize-space()='Supply of alcoholic beverages']}`",SeleniumHQ_selenium_issues_8216
661,661.0,3.0,1.0,"""Advanced version of DBeaver. Supports NoSQL databases, special enterprise features and contains all main drivers and plugins out-of-the-box.""",dbeaver_dbeaver_issues_4127,661.0,3,0.0,"""Advanced version of DBeaver. Supports NoSQL databases, special enterprise features and contains all main drivers and plugins out-of-the-box.""",dbeaver_dbeaver_issues_4127
694,694.0,17.0,0.0,Time is: 5027,google_guava_issues_1069,694.0,17,1.0,Time is: 5027,google_guava_issues_1069
697,697.0,20.0,0.0,Time is 13,google_guava_issues_1069,697.0,20,1.0,Time is 13,google_guava_issues_1069
705,705.0,28.0,0.0,removeAll(Collection<?> c) as:,google_guava_issues_1069,705.0,28,1.0,removeAll(Collection<?> c) as:,google_guava_issues_1069
906,906.0,18.0,1.0," [ik-6.3.2,ik-7.11.1]",elastic_elasticsearch_issues_76860,906.0,18,0.0," [ik-6.3.2,ik-7.11.1]",elastic_elasticsearch_issues_76860
909,909.0,21.0,1.0,1.8.0_211,elastic_elasticsearch_issues_76860,909.0,21,0.0,1.8.0_211,elastic_elasticsearch_issues_76860
929,929.0,41.0,1.0,POST test/_doc/C86A73509CA91D71C447DCE426AAF703,elastic_elasticsearch_issues_76860,929.0,41,0.0,POST test/_doc/C86A73509CA91D71C447DCE426AAF703,elastic_elasticsearch_issues_76860
963,963.0,75.0,1.0,returns the following,elastic_elasticsearch_issues_76860,963.0,75,0.0,returns the following,elastic_elasticsearch_issues_76860
1111,1111.0,8.0,0.0,[OS that we support](https://www.elastic.co/support/matrix#show_os).,elastic_elasticsearch_issues_21931,1111.0,8,1.0,[OS that we support](https://www.elastic.co/support/matrix#show_os).,elastic_elasticsearch_issues_21931
