,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
41,41.0,10.0,1.0,Result: http://i.imgur.com/B9bVIgo.png,Intervention_image_issues_625,41.0,10.0,0.0,Result: http://i.imgur.com/B9bVIgo.png,Intervention_image_issues_625
62,62.0,1.0,0.0,| Q                | A,symfony_symfony_issues_26453,62.0,1.0,1.0,| Q                | A,symfony_symfony_issues_26453
64,64.0,3.0,0.0,| Bug report?      | no,symfony_symfony_issues_26453,64.0,3.0,1.0,| Bug report?      | no,symfony_symfony_issues_26453
65,65.0,4.0,0.0,| Feature request? | yes,symfony_symfony_issues_26453,65.0,4.0,1.0,| Feature request? | yes,symfony_symfony_issues_26453
66,66.0,5.0,0.0,| BC Break report? | no,symfony_symfony_issues_26453,66.0,5.0,1.0,| BC Break report? | no,symfony_symfony_issues_26453
67,67.0,6.0,0.0,| RFC?             | no,symfony_symfony_issues_26453,67.0,6.0,1.0,| RFC?             | no,symfony_symfony_issues_26453
68,68.0,7.0,0.0,| Symfony version  | 4.1,symfony_symfony_issues_26453,68.0,7.0,1.0,| Symfony version  | 4.1,symfony_symfony_issues_26453
86,86.0,3.0,0.0,imagecolorallocatealpha(): Alpha component is out of range,phalcon_cphalcon_issues_14609,86.0,3.0,1.0,imagecolorallocatealpha(): Alpha component is out of range,phalcon_cphalcon_issues_14609
166,166.0,15.0,1.0,"Keywords: i18n, l10n",matomo-org_matomo_issues_1187,166.0,15.0,0.0,"Keywords: i18n, l10n",matomo-org_matomo_issues_1187
255,255.0,4.0,1.0,My url: http://localhost:8000/api/review/1?page=2&api_token=Yss1RZ9GSaddAG43yDaboKLAN3Xj56lc,laravel_framework_issues_13226,255.0,4.0,0.0,My url: http://localhost:8000/api/review/1?page=2&api_token=Yss1RZ9GSaddAG43yDaboKLAN3Xj56lc,laravel_framework_issues_13226
320,320.0,28.0,1.0,Full log:,nextcloud_server_issues_17025,320.0,28.0,0.0,Full log:,nextcloud_server_issues_17025
587,587.0,295.0,0.0,Debian9 Stretch,nextcloud_server_issues_17025,587.0,295.0,1.0,Debian9 Stretch,nextcloud_server_issues_17025
589,589.0,297.0,0.0,Apache2 2.4.25-3+deb9u7,nextcloud_server_issues_17025,589.0,297.0,1.0,Apache2 2.4.25-3+deb9u7,nextcloud_server_issues_17025
591,591.0,299.0,0.0,Mariadb 10.1.38-0+deb9u1,nextcloud_server_issues_17025,591.0,299.0,1.0,Mariadb 10.1.38-0+deb9u1,nextcloud_server_issues_17025
593,593.0,301.0,0.0,php7.0 7.0.33-0+deb9u3,nextcloud_server_issues_17025,593.0,301.0,1.0,php7.0 7.0.33-0+deb9u3,nextcloud_server_issues_17025
607,607.0,315.0,0.0,Login as admin user into your Nextcloud and access,nextcloud_server_issues_17025,607.0,315.0,1.0,Login as admin user into your Nextcloud and access ,nextcloud_server_issues_17025
609,609.0,317.0,0.0,paste the results here.,nextcloud_server_issues_17025,609.0,317.0,1.0,paste the results here.,nextcloud_server_issues_17025
619,619.0,327.0,0.0,If you have access to your command line run e.g.:,nextcloud_server_issues_17025,619.0,327.0,1.0,If you have access to your command line run e.g.:,nextcloud_server_issues_17025
621,621.0,329.0,0.0,from within your Nextcloud installation folder,nextcloud_server_issues_17025,621.0,329.0,1.0,from within your Nextcloud installation folder,nextcloud_server_issues_17025
675,675.0,383.0,1.0,**Nextcloud configuration:**,nextcloud_server_issues_17025,675.0,383.0,0.0,**Nextcloud configuration:**,nextcloud_server_issues_17025
680,680.0,388.0,0.0,If you have access to your command line run e.g.:,nextcloud_server_issues_17025,680.0,388.0,1.0,If you have access to your command line run e.g.:,nextcloud_server_issues_17025
682,682.0,390.0,0.0,from within your Nextcloud installation folder,nextcloud_server_issues_17025,682.0,390.0,1.0,from within your Nextcloud installation folder,nextcloud_server_issues_17025
684,684.0,392.0,0.0,or,nextcloud_server_issues_17025,684.0,392.0,1.0,or ,nextcloud_server_issues_17025
686,686.0,394.0,0.0,Insert your config.php content here.,nextcloud_server_issues_17025,686.0,394.0,1.0,Insert your config.php content here. ,nextcloud_server_issues_17025
687,687.0,395.0,0.0,"Make sure to remove all sensitive content such as passwords. (e.g. database password, passwordsalt, secret, smtp password, …)",nextcloud_server_issues_17025,687.0,395.0,1.0,"Make sure to remove all sensitive content such as passwords. (e.g. database password, passwordsalt, secret, smtp password, …)",nextcloud_server_issues_17025
689,689.0,397.0,1.0,Nextcloud or one of the apps require upgrade - only a limited number of commands are available,nextcloud_server_issues_17025,689.0,397.0,0.0,Nextcloud or one of the apps require upgrade - only a limited number of commands are available,nextcloud_server_issues_17025
690,690.0,398.0,1.0,You may use your browser or the occ upgrade command to do the upgrade,nextcloud_server_issues_17025,690.0,398.0,0.0,You may use your browser or the occ upgrade command to do the upgrade,nextcloud_server_issues_17025
747,747.0,455.0,0.0,Insert your webserver log here,nextcloud_server_issues_17025,747.0,455.0,1.0,Insert your webserver log here,nextcloud_server_issues_17025
775,775.0,483.0,1.0,#### Nextcloud log (data/nextcloud.log),nextcloud_server_issues_17025,775.0,483.0,0.0,#### Nextcloud log (data/nextcloud.log),nextcloud_server_issues_17025
778,778.0,486.0,1.0,"uh, this is a 14MB file, sure you want the whole thing? Here is the last few entries (which seem to be all identical except for the timestamp)",nextcloud_server_issues_17025,778.0,486.0,0.0,"uh, this is a 14MB file, sure you want the whole thing? Here is the last few entries (which seem to be all identical except for the timestamp)",nextcloud_server_issues_17025
780,780.0,488.0,0.0,Insert your Nextcloud log here,nextcloud_server_issues_17025,780.0,488.0,1.0,Insert your Nextcloud log here,nextcloud_server_issues_17025
794,794.0,502.0,0.0,"Insert your browser log here, this could for example include:",nextcloud_server_issues_17025,794.0,502.0,1.0,"Insert your browser log here, this could for example include:",nextcloud_server_issues_17025
796,796.0,504.0,0.0,a) The javascript console log,nextcloud_server_issues_17025,796.0,504.0,1.0,a) The javascript console log,nextcloud_server_issues_17025
797,797.0,505.0,0.0,b) The network log,nextcloud_server_issues_17025,797.0,505.0,1.0,b) The network log,nextcloud_server_issues_17025
857,857.0,56.0,0.0,Login as admin user into your Nextcloud and access,nextcloud_server_issues_9140,857.0,56.0,1.0,Login as admin user into your Nextcloud and access,nextcloud_server_issues_9140
859,859.0,58.0,0.0,paste the results here.,nextcloud_server_issues_9140,859.0,58.0,1.0,paste the results here.,nextcloud_server_issues_9140
868,868.0,67.0,0.0,If you have access to your command line run e.g.:,nextcloud_server_issues_9140,868.0,67.0,1.0,If you have access to your command line run e.g.:,nextcloud_server_issues_9140
870,870.0,69.0,0.0,from within your Nextcloud installation folder,nextcloud_server_issues_9140,870.0,69.0,1.0,from within your Nextcloud installation folder,nextcloud_server_issues_9140
872,872.0,71.0,1.0,</details>,nextcloud_server_issues_9140,872.0,71.0,0.0,</details>,nextcloud_server_issues_9140
873,873.0,72.0,0.0,"no root server, sorry",nextcloud_server_issues_9140,873.0,72.0,1.0,"no root server, sorry",nextcloud_server_issues_9140
880,880.0,79.0,0.0,If you have access to your command line run e.g.:,nextcloud_server_issues_9140,880.0,79.0,1.0,If you have access to your command line run e.g.:,nextcloud_server_issues_9140
882,882.0,81.0,0.0,from within your Nextcloud installation folder,nextcloud_server_issues_9140,882.0,81.0,1.0,from within your Nextcloud installation folder,nextcloud_server_issues_9140
883,883.0,82.0,0.0,"no root server, sorry",nextcloud_server_issues_9140,883.0,82.0,1.0,"no root server, sorry",nextcloud_server_issues_9140
884,884.0,83.0,0.0,or,nextcloud_server_issues_9140,884.0,83.0,1.0,or,nextcloud_server_issues_9140
886,886.0,85.0,0.0,Insert your config.php content here.,nextcloud_server_issues_9140,886.0,85.0,1.0,Insert your config.php content here.,nextcloud_server_issues_9140
887,887.0,86.0,0.0,"Make sure to remove all sensitive content such as passwords. (e.g. database password, passwordsalt, secret, smtp password, …)",nextcloud_server_issues_9140,887.0,86.0,1.0,"Make sure to remove all sensitive content such as passwords. (e.g. database password, passwordsalt, secret, smtp password, …)",nextcloud_server_issues_9140
1025,1025.0,77.0,0.0,Login as admin user into your Nextcloud and access,nextcloud_server_issues_8790,1025.0,77.0,1.0,Login as admin user into your Nextcloud and access ,nextcloud_server_issues_8790
1027,1027.0,79.0,0.0,paste the results here.,nextcloud_server_issues_8790,1027.0,79.0,1.0,paste the results here.,nextcloud_server_issues_8790
1030,1030.0,82.0,1.0,No errors have been found.,nextcloud_server_issues_8790,1030.0,82.0,0.0,No errors have been found.,nextcloud_server_issues_8790
1033,1033.0,85.0,1.0,**List of activated apps:**,nextcloud_server_issues_8790,1033.0,85.0,0.0,**List of activated apps:**,nextcloud_server_issues_8790
