,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
23,23.0,23.0,0.0,Modbus,home-assistant_core_issues_52801,23.0,23.0,1.0,Modbus,home-assistant_core_issues_52801
201,201.0,11.0,0.0,apt,ansible_ansible_issues_75381,201.0,11.0,1.0,apt,ansible_ansible_issues_75381
466,466.0,9.0,0.0,# try using different optimizers and different optimizer configs,keras-team_keras_issues_1898,466.0,9.0,1.0,# try using different optimizers and different optimizer configs,keras-team_keras_issues_1898
472,472.0,1.0,1.0,"_Original ticket http://projects.scipy.org/numpy/ticket/564 on 2007-08-06 by trac user DrIdiot, assigned to unknown._",numpy_numpy_issues_1162,472.0,1.0,0.0,"_Original ticket http://projects.scipy.org/numpy/ticket/564 on 2007-08-06 by trac user DrIdiot, assigned to unknown._",numpy_numpy_issues_1162
519,519.0,10.0,0.0,->[[0.2]],numpy_numpy_issues_5375,519.0,10.0,1.0,->[[0.2]],numpy_numpy_issues_5375
562,562.0,40.0,1.0,hosts,ansible_ansible_issues_23711,562.0,40.0,0.0,hosts,ansible_ansible_issues_23711
712,712.0,10.0,0.0,**Description of problem:**,home-assistant_core_issues_2279,712.0,10.0,1.0,**Description of problem:**,home-assistant_core_issues_2279
713,713.0,11.0,0.0,"After upgrade to version 0.21.0, initially Home Assistant seems to function, but when requesting the History, this will result a call to `/api/history/period/2016-6-11`, returning a 500 error with content:",home-assistant_core_issues_2279,713.0,11.0,1.0,"After upgrade to version 0.21.0, initially Home Assistant seems to function, but when requesting the History, this will result a call to `/api/history/period/2016-6-11`, returning a 500 error with content:",home-assistant_core_issues_2279
750,750.0,48.0,0.0,Yaml does not seem relevant,home-assistant_core_issues_2279,750.0,48.0,1.0,Yaml does not seem relevant,home-assistant_core_issues_2279
843,843.0,24.0,0.0,1. Wink,home-assistant_core_issues_2690,843.0,24.0,1.0,1. Wink,home-assistant_core_issues_2690
844,844.0,25.0,0.0,2. IFTTT,home-assistant_core_issues_2690,844.0,25.0,1.0,2. IFTTT,home-assistant_core_issues_2690
845,845.0,26.0,0.0,3. LIFX,home-assistant_core_issues_2690,845.0,26.0,1.0,3. LIFX,home-assistant_core_issues_2690
1057,1057.0,28.0,1.0,and these a few lines from OZW.log:,home-assistant_core_issues_7943,1057.0,28.0,0.0,and these a few lines from OZW.log:,home-assistant_core_issues_7943
1102,1102.0,34.0,0.0,`ansible -m ping -i hosts all`,ansible_ansible_issues_13960,1102.0,34.0,1.0,`ansible -m ping -i hosts all`,ansible_ansible_issues_13960
1103,1103.0,35.0,1.0,should start successfully,ansible_ansible_issues_13960,1103.0,35.0,0.0,should start successfully,ansible_ansible_issues_13960
1146,1146.0,9.0,1.0,-->,home-assistant_core_issues_21644,1146.0,9.0,0.0,-->,home-assistant_core_issues_21644
1253,1253.0,9.0,1.0,> callable: callable with input two 1d ndarrays returning a float. Note that the returned matrix from corr have 1 along the diagonals and will be symmetric of the callable's behavior.,pandas-dev_pandas_issues_44671,1253.0,9.0,0.0,> callable: callable with input two 1d ndarrays returning a float. Note that the returned matrix from corr have 1 along the diagonals and will be symmetric of the callable's behavior.,pandas-dev_pandas_issues_44671
1480,1480.0,29.0,1.0,- Home Assistant Core release with the issue: 0.116.2,home-assistant_core_issues_41625,1480.0,29.0,0.0,- Home Assistant Core release with the issue: 0.116.2,home-assistant_core_issues_41625
1482,1482.0,31.0,1.0,- Operating environment (OS/Container/Supervised/Core): HassOS 4.13 in VirtualBox on a Mac Mini,home-assistant_core_issues_41625,1482.0,31.0,0.0,- Operating environment (OS/Container/Supervised/Core): HassOS 4.13 in VirtualBox on a Mac Mini,home-assistant_core_issues_41625
1635,1635.0,14.0,0.0,aws_ec2,ansible_ansible_issues_63895,1635.0,14.0,1.0,aws_ec2,ansible_ansible_issues_63895
