,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_javascript_researcher_1,classification_report_javascript_researcher_1,macro_f1_javascript_researcher_1,roc-auc_javascript_researcher_1,perf_predict_runtime_javascript_researcher_1,timeit_runtime_javascript_researcher_1,man_validation_samples_javascript_researcher_2,classification_report_javascript_researcher_2,macro_f1_javascript_researcher_2,roc-auc_javascript_researcher_2,perf_predict_runtime_javascript_researcher_2,timeit_runtime_javascript_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0720853880047798,2.8601884765625,895,6250,0,5170,"{""artifact"": {""precision"": 0.9723320158102767, ""recall"": 0.9111111111111111, ""f1-score"": 0.9407265774378586, ""support"": 3240}, ""text"": {""precision"": 0.8650421743205249, ""recall"": 0.9564766839378238, ""f1-score"": 0.908464566929134, ""support"": 1930}, ""accuracy"": 0.928046421663443, ""macro avg"": {""precision"": 0.9186870950654008, ""recall"": 0.9337938975244675, ""f1-score"": 0.9245955721834963, ""support"": 5170}, ""weighted avg"": {""precision"": 0.932279908639054, ""recall"": 0.928046421663443, ""f1-score"": 0.9286829255458203, ""support"": 5170}}",0.9245955721834963,0.9337938975244674,0.28862888799631037,0.291397753401543,5167,"{""artifact"": {""precision"": 0.9732849604221636, ""recall"": 0.9150387596899224, ""f1-score"": 0.9432635448297906, ""support"": 3225}, ""text"": {""precision"": 0.8716627634660421, ""recall"": 0.9582904222451082, ""f1-score"": 0.912926171204317, ""support"": 1942}, ""accuracy"": 0.9312947551770854, ""macro avg"": {""precision"": 0.9224738619441029, ""recall"": 0.9366645909675153, ""f1-score"": 0.9280948580170538, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9350905910610667, ""recall"": 0.9312947551770854, ""f1-score"": 0.9318613424723936, ""support"": 5167}}",0.9280948580170538,0.9366645909675153,0.28887205399223603,0.2899698281020392
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9260456920019351,2.865697265625,526,6250,1,5170,"{""artifact"": {""precision"": 0.9736754415194935, ""recall"": 0.9018518518518519, ""f1-score"": 0.9363883992949847, ""support"": 3240}, ""text"": {""precision"": 0.8533886583679114, ""recall"": 0.9590673575129534, ""f1-score"": 0.9031471090509882, ""support"": 1930}, ""accuracy"": 0.92321083172147, ""macro avg"": {""precision"": 0.9135320499437025, ""recall"": 0.9304596046824026, ""f1-score"": 0.9197677541729865, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9287714779832162, ""recall"": 0.92321083172147, ""f1-score"": 0.9239791748905527, ""support"": 5170}}",0.9197677541729865,0.9304596046824026,0.2879848690063227,0.2870209751010407,5167,"{""artifact"": {""precision"": 0.9733066399733067, ""recall"": 0.9044961240310078, ""f1-score"": 0.9376406300225009, ""support"": 3225}, ""text"": {""precision"": 0.8580645161290322, ""recall"": 0.9588053553038105, ""f1-score"": 0.9056420233463034, ""support"": 1942}, ""accuracy"": 0.9249080704470679, ""macro avg"": {""precision"": 0.9156855780511695, ""recall"": 0.9316507396674092, ""f1-score"": 0.9216413266844021, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9299932657705622, ""recall"": 0.9249080704470679, ""f1-score"": 0.9256140586725539, ""support"": 5167}}",0.9216413266844021,0.9316507396674092,0.28635365900117904,0.28653793869889344
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9929498450073879,2.829814453125,857,6250,2,5170,"{""artifact"": {""precision"": 0.9704449496589802, ""recall"": 0.9222222222222223, ""f1-score"": 0.9457192593764836, ""support"": 3240}, ""text"": {""precision"": 0.8794835007173601, ""recall"": 0.9528497409326425, ""f1-score"": 0.9146978363591146, ""support"": 1930}, ""accuracy"": 0.9336557059961316, ""macro avg"": {""precision"": 0.9249642251881702, ""recall"": 0.9375359815774325, ""f1-score"": 0.930208547867799, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9364883545995359, ""recall"": 0.9336557059961316, ""f1-score"": 0.9341387281533652, ""support"": 5170}}",0.930208547867799,0.9375359815774323,0.2851249040104449,0.28497660119901413,5167,"{""artifact"": {""precision"": 0.9707317073170731, ""recall"": 0.9255813953488372, ""f1-score"": 0.9476190476190476, ""support"": 3225}, ""text"": {""precision"": 0.8852772466539197, ""recall"": 0.9536560247167868, ""f1-score"": 0.918195339613287, ""support"": 1942}, ""accuracy"": 0.9361331526998258, ""macro avg"": {""precision"": 0.9280044769854965, ""recall"": 0.9396187100328119, ""f1-score"": 0.9329071936161673, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9386139286045042, ""recall"": 0.9361331526998258, ""f1-score"": 0.9365602434876005, ""support"": 5167}}",0.9329071936161673,0.939618710032812,0.2851784139929805,0.28443249029805884
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9524920629919507,2.849740234375,604,6250,3,5170,"{""artifact"": {""precision"": 0.9742904841402337, ""recall"": 0.9006172839506172, ""f1-score"": 0.9360064153969527, ""support"": 3240}, ""text"": {""precision"": 0.8519540229885058, ""recall"": 0.9601036269430052, ""f1-score"": 0.9028014616321559, ""support"": 1930}, ""accuracy"": 0.9228239845261121, ""macro avg"": {""precision"": 0.9131222535643697, ""recall"": 0.9303604554468112, ""f1-score"": 0.9194039385145543, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9286213603447143, ""recall"": 0.9228239845261121, ""f1-score"": 0.9236107556743108, ""support"": 5170}}",0.9194039385145543,0.9303604554468112,0.2895185169763863,0.28897593230067287,5167,"{""artifact"": {""precision"": 0.9745904379806085, ""recall"": 0.9038759689922481, ""f1-score"": 0.9379021879021879, ""support"": 3225}, ""text"": {""precision"": 0.8575367647058824, ""recall"": 0.96086508753862, ""f1-score"": 0.9062651772705197, ""support"": 1942}, ""accuracy"": 0.9252951422488872, ""macro avg"": {""precision"": 0.9160636013432455, ""recall"": 0.932370528265434, ""f1-score"": 0.9220836825863539, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9305961988670961, ""recall"": 0.9252951422488872, ""f1-score"": 0.9260115212393855, ""support"": 5167}}",0.9220836825863539,0.932370528265434,0.2878289669752121,0.28792010319884864
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0099934129975736,2.9572490234375,964,6250,4,5170,"{""artifact"": {""precision"": 0.9731610337972167, ""recall"": 0.9064814814814814, ""f1-score"": 0.9386385426653884, ""support"": 3240}, ""text"": {""precision"": 0.8592007434944238, ""recall"": 0.9580310880829016, ""f1-score"": 0.9059284664380207, ""support"": 1930}, ""accuracy"": 0.9257253384912959, ""macro avg"": {""precision"": 0.9161808886458203, ""recall"": 0.9322562847821916, ""f1-score"": 0.9222835045517046, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9306187977654197, ""recall"": 0.9257253384912959, ""f1-score"": 0.9264276244605877, ""support"": 5170}}",0.9222835045517046,0.9322562847821915,0.2876416759972926,0.28713028119818773,5167,"{""artifact"": {""precision"": 0.9724618447246185, ""recall"": 0.9088372093023256, ""f1-score"": 0.9395736496233371, ""support"": 3225}, ""text"": {""precision"": 0.8634463539247561, ""recall"": 0.9572605561277034, ""f1-score"": 0.9079365079365079, ""support"": 1942}, ""accuracy"": 0.9270369653570737, ""macro avg"": {""precision"": 0.9179540993246873, ""recall"": 0.9330488827150145, ""f1-score"": 0.9237550787799225, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9314887301255604, ""recall"": 0.9270369653570737, ""f1-score"": 0.9276829337038824, ""support"": 5167}}",0.9237550787799225,0.9330488827150145,0.28804075499647297,0.2865926604979904
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0135645749978721,2.8393271484375,814,6250,5,5170,"{""artifact"": {""precision"": 0.9692609548724657, ""recall"": 0.9148148148148149, ""f1-score"": 0.9412511908542394, ""support"": 3240}, ""text"": {""precision"": 0.8693181818181818, ""recall"": 0.9512953367875647, ""f1-score"": 0.9084611578426521, ""support"": 1930}, ""accuracy"": 0.9284332688588007, ""macro avg"": {""precision"": 0.9192895683453237, ""recall"": 0.9330550758011897, ""f1-score"": 0.9248561743484458, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9319515637709632, ""recall"": 0.9284332688588007, ""f1-score"": 0.9290104241787339, ""support"": 5170}}",0.9248561743484458,0.9330550758011897,0.2866918939980678,0.28737534710089674,5167,"{""artifact"": {""precision"": 0.9666011787819253, ""recall"": 0.9153488372093024, ""f1-score"": 0.9402771141901577, ""support"": 3225}, ""text"": {""precision"": 0.8707998106956933, ""recall"": 0.9474768280123584, ""f1-score"": 0.907521578298397, ""support"": 1942}, ""accuracy"": 0.927424037158893, ""macro avg"": {""precision"": 0.9187004947388093, ""recall"": 0.9314128326108304, ""f1-score"": 0.9238993462442773, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9305945488567342, ""recall"": 0.927424037158893, ""f1-score"": 0.9279660534775974, ""support"": 5167}}",0.9238993462442773,0.9314128326108305,0.28666589499334805,0.2864469090010971
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9566992570180446,2.890828125,308,6250,6,5170,"{""artifact"": {""precision"": 0.9737274220032841, ""recall"": 0.9151234567901234, ""f1-score"": 0.9435163086714399, ""support"": 3240}, ""text"": {""precision"": 0.8705882352941177, ""recall"": 0.9585492227979274, ""f1-score"": 0.9124537607891492, ""support"": 1930}, ""accuracy"": 0.9313346228239845, ""macro avg"": {""precision"": 0.9221578286487009, ""recall"": 0.9368363397940254, ""f1-score"": 0.9279850347302945, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9352247855722026, ""recall"": 0.9313346228239845, ""f1-score"": 0.9319204252260199, ""support"": 5170}}",0.9279850347302945,0.9368363397940254,0.2877590860007331,0.2862667238980066,5167,"{""artifact"": {""precision"": 0.9736928641894114, ""recall"": 0.9181395348837209, ""f1-score"": 0.945100542610916, ""support"": 3225}, ""text"": {""precision"": 0.8758231420507996, ""recall"": 0.9588053553038105, ""f1-score"": 0.9154375614552606, ""support"": 1942}, ""accuracy"": 0.9334236500870912, ""macro avg"": {""precision"": 0.9247580031201055, ""recall"": 0.9384724450937657, ""f1-score"": 0.9302690520330883, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9369088501787313, ""recall"": 0.9334236500870912, ""f1-score"": 0.9339518084510006, ""support"": 5167}}",0.9302690520330883,0.9384724450937657,0.2875814219878521,0.2858966024010442
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9805506000120658,2.847630859375,715,6250,7,5170,"{""artifact"": {""precision"": 0.9712491738268341, ""recall"": 0.9070987654320988, ""f1-score"": 0.938078518991382, ""support"": 3240}, ""text"": {""precision"": 0.8596082089552238, ""recall"": 0.9549222797927461, ""f1-score"": 0.9047619047619047, ""support"": 1930}, ""accuracy"": 0.9249516441005803, ""macro avg"": {""precision"": 0.915428691391029, ""recall"": 0.9310105226124225, ""f1-score"": 0.9214202118766432, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9295727594743761, ""recall"": 0.9249516441005803, ""f1-score"": 0.925641175574962, ""support"": 5170}}",0.9214202118766432,0.9310105226124225,0.2860502300027292,0.28528297700104305,5167,"{""artifact"": {""precision"": 0.972203838517538, ""recall"": 0.9110077519379844, ""f1-score"": 0.9406114935168881, ""support"": 3225}, ""text"": {""precision"": 0.8662004662004662, ""recall"": 0.956745623069001, ""f1-score"": 0.9092243699535111, ""support"": 1942}, ""accuracy"": 0.9281981807625315, ""macro avg"": {""precision"": 0.9192021523590022, ""recall"": 0.9338766875034927, ""f1-score"": 0.9249179317351996, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9323628187691824, ""recall"": 0.9281981807625315, ""f1-score"": 0.9288147460889651, ""support"": 5167}}",0.9249179317351996,0.9338766875034927,0.28663388499990106,0.2860112455004128
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.98493828199571,2.8910703125,563,6250,8,5170,"{""artifact"": {""precision"": 0.9724294518326305, ""recall"": 0.9253086419753086, ""f1-score"": 0.9482840423849438, ""support"": 3240}, ""text"": {""precision"": 0.8840440824149497, ""recall"": 0.9559585492227979, ""f1-score"": 0.9185959671396564, ""support"": 1930}, ""accuracy"": 0.9367504835589942, ""macro avg"": {""precision"": 0.9282367671237901, ""recall"": 0.9406335955990532, ""f1-score"": 0.9334400047623002, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9394345266921811, ""recall"": 0.9367504835589942, ""f1-score"": 0.9372012599432795, ""support"": 5170}}",0.9334400047623002,0.9406335955990532,0.2894773400039412,0.2851907381002093,5167,"{""artifact"": {""precision"": 0.9720688535238714, ""recall"": 0.928062015503876, ""f1-score"": 0.9495558375634517, ""support"": 3225}, ""text"": {""precision"": 0.8888888888888888, ""recall"": 0.9557157569515963, ""f1-score"": 0.9210918114143921, ""support"": 1942}, ""accuracy"": 0.9384555835107412, ""macro avg"": {""precision"": 0.9304788712063801, ""recall"": 0.9418888862277361, ""f1-score"": 0.9353238244889219, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9408059366821575, ""recall"": 0.9384555835107412, ""f1-score"": 0.9388577267096732, ""support"": 5167}}",0.9353238244889219,0.941888886227736,0.286230698984582,0.2855360098008532
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9740828840003815,2.7718310546875,786,6250,9,5170,"{""artifact"": {""precision"": 0.971, ""recall"": 0.899074074074074, ""f1-score"": 0.9336538461538461, ""support"": 3240}, ""text"": {""precision"": 0.8493087557603687, ""recall"": 0.9549222797927461, ""f1-score"": 0.8990243902439025, ""support"": 1930}, ""accuracy"": 0.9199226305609284, ""macro avg"": {""precision"": 0.9101543778801844, ""recall"": 0.9269981769334101, ""f1-score"": 0.9163391181988743, ""support"": 5170}, ""weighted avg"": {""precision"": 0.9255717405449733, ""recall"": 0.9199226305609284, ""f1-score"": 0.9207264090346603, ""support"": 5170}}",0.9163391181988743,0.92699817693341,0.2878814449941274,0.2881165237020468,5167,"{""artifact"": {""precision"": 0.9706373039706373, ""recall"": 0.902015503875969, ""f1-score"": 0.9350691096110575, ""support"": 3225}, ""text"": {""precision"": 0.8543778801843318, ""recall"": 0.9546858908341915, ""f1-score"": 0.9017509727626459, ""support"": 1942}, ""accuracy"": 0.921811496032514, ""macro avg"": {""precision"": 0.9125075920774846, ""recall"": 0.9283506973550802, ""f1-score"": 0.9184100411868517, ""support"": 5167}, ""weighted avg"": {""precision"": 0.9269415809218652, ""recall"": 0.921811496032514, ""f1-score"": 0.9225465971745149, ""support"": 5167}}",0.9184100411868517,0.9283506973550802,0.2843201530049555,0.28552948659926186
