,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_python_researcher_1,classification_report_python_researcher_1,macro_f1_python_researcher_1,roc-auc_python_researcher_1,perf_predict_runtime_python_researcher_1,timeit_runtime_python_researcher_1,man_validation_samples_python_researcher_2,classification_report_python_researcher_2,macro_f1_python_researcher_2,roc-auc_python_researcher_2,perf_predict_runtime_python_researcher_2,timeit_runtime_python_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2836801359953824,2.3567607421875,803,6250,0,10901,"{""artifact"": {""precision"": 0.9818156959256221, ""recall"": 0.8608247422680413, ""f1-score"": 0.9173479816044967, ""support"": 8342}, ""text"": {""precision"": 0.6763311959855032, ""recall"": 0.9480265728800312, ""f1-score"": 0.7894565571103157, ""support"": 2559}, ""accuracy"": 0.8812952940097238, ""macro avg"": {""precision"": 0.8290734459555626, ""recall"": 0.9044256575740363, ""f1-score"": 0.8534022693574062, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9101034827940963, ""recall"": 0.8812952940097238, ""f1-score"": 0.8873255840922859, ""support"": 10901}}",0.8534022693574062,0.9044256575740364,0.6370668369927444,0.636995744300657,10983,"{""artifact"": {""precision"": 0.9795669824086604, ""recall"": 0.8590245639017444, ""f1-score"": 0.9153442498577481, ""support"": 8427}, ""text"": {""precision"": 0.6693570832173671, ""recall"": 0.940923317683881, ""f1-score"": 0.7822410147991543, ""support"": 2556}, ""accuracy"": 0.878084312118729, ""macro avg"": {""precision"": 0.8244620328130137, ""recall"": 0.8999739407928127, ""f1-score"": 0.8487926323284511, ""support"": 10983}, ""weighted avg"": {""precision"": 0.907373911086349, ""recall"": 0.878084312118729, ""f1-score"": 0.8843680258015006, ""support"": 10983}}",0.8487926323284511,0.8999739407928128,0.642891013994813,0.6414636484987568
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0983445980236866,2.4337294921875,644,6250,1,10901,"{""artifact"": {""precision"": 0.9844245348035837, ""recall"": 0.8561496044114121, ""f1-score"": 0.9158171443226261, ""support"": 8342}, ""text"": {""precision"": 0.6708721886999451, ""recall"": 0.9558421258304025, ""f1-score"": 0.7883964544721997, ""support"": 2559}, ""accuracy"": 0.8795523346481974, ""macro avg"": {""precision"": 0.8276483617517645, ""recall"": 0.9059958651209072, ""f1-score"": 0.852106799397413, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9108184020011608, ""recall"": 0.8795523346481974, ""f1-score"": 0.8859052513470054, ""support"": 10901}}",0.852106799397413,0.9059958651209074,0.63743867399171,0.6379264506016625,10983,"{""artifact"": {""precision"": 0.9801008586615783, ""recall"": 0.8533285866856533, ""f1-score"": 0.9123318954580055, ""support"": 8427}, ""text"": {""precision"": 0.6609983543609435, ""recall"": 0.9428794992175273, ""f1-score"": 0.7771686552724928, ""support"": 2556}, ""accuracy"": 0.8741691705362834, ""macro avg"": {""precision"": 0.8205496065112609, ""recall"": 0.8981040429515903, ""f1-score"": 0.8447502753652492, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9058382709357818, ""recall"": 0.8741691705362834, ""f1-score"": 0.8808762602113361, ""support"": 10983}}",0.8447502753652492,0.8981040429515903,0.6396057700039819,0.6378931640996598
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0544818680209573,2.3419111328125,728,6250,2,10901,"{""artifact"": {""precision"": 0.9848984074684239, ""recall"": 0.8599856149604411, ""f1-score"": 0.9182132343530014, ""support"": 8342}, ""text"": {""precision"": 0.6770804534144319, ""recall"": 0.9570144587729582, ""f1-score"": 0.7930699481865285, ""support"": 2559}, ""accuracy"": 0.8827630492615356, ""macro avg"": {""precision"": 0.8309894304414279, ""recall"": 0.9085000368666997, ""f1-score"": 0.855641591269765, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9126384180707389, ""recall"": 0.8827630492615356, ""f1-score"": 0.8888359598552485, ""support"": 10901}}",0.855641591269765,0.9085000368666998,0.6384567850036547,0.6396488733997103,10983,"{""artifact"": {""precision"": 0.9812627291242363, ""recall"": 0.8576005695977216, ""f1-score"": 0.9152735562310031, ""support"": 8427}, ""text"": {""precision"": 0.6683250414593698, ""recall"": 0.9460093896713615, ""f1-score"": 0.783284742468416, ""support"": 2556}, ""accuracy"": 0.8781753619229719, ""macro avg"": {""precision"": 0.8247938852918031, ""recall"": 0.9018049796345415, ""f1-score"": 0.8492791493497096, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9084348378676216, ""recall"": 0.8781753619229719, ""f1-score"": 0.8845566839759569, ""support"": 10983}}",0.8492791493497096,0.9018049796345415,0.635732052003732,0.6347960148996208
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0266512889938895,2.3103251953125,772,6250,3,10901,"{""artifact"": {""precision"": 0.9850869925434963, ""recall"": 0.8551906017741548, ""f1-score"": 0.9155544147843943, ""support"": 8342}, ""text"": {""precision"": 0.6698551516807871, ""recall"": 0.9577960140679953, ""f1-score"": 0.7883563846896109, ""support"": 2559}, ""accuracy"": 0.8792771305384827, ""macro avg"": {""precision"": 0.8274710721121417, ""recall"": 0.9064933079210751, ""f1-score"": 0.8519553997370026, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9110865998485441, ""recall"": 0.8792771305384827, ""f1-score"": 0.885694790987261, ""support"": 10901}}",0.8519553997370026,0.9064933079210751,0.6350867019791622,0.6315238982992014,10983,"{""artifact"": {""precision"": 0.981023890784983, ""recall"": 0.8527352557256438, ""f1-score"": 0.9123920771965465, ""support"": 8427}, ""text"": {""precision"": 0.6607435757244395, ""recall"": 0.9456181533646323, ""f1-score"": 0.7779208239459284, ""support"": 2556}, ""accuracy"": 0.8743512701447692, ""macro avg"": {""precision"": 0.8208837332547112, ""recall"": 0.899176704545138, ""f1-score"": 0.8451564505712374, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9064871990527832, ""recall"": 0.8743512701447692, ""f1-score"": 0.8810974834326768, ""support"": 10983}}",0.8451564505712374,0.8991767045451381,0.636499782995088,0.6332261052011745
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0535055859945714,2.29705078125,260,6250,4,10901,"{""artifact"": {""precision"": 0.9844810863239574, ""recall"": 0.8517142172140973, ""f1-score"": 0.9132977697795488, ""support"": 8342}, ""text"": {""precision"": 0.6642236699239956, ""recall"": 0.9562329034779211, ""f1-score"": 0.7839179881467243, ""support"": 2559}, ""accuracy"": 0.876249885331621, ""macro avg"": {""precision"": 0.8243523781239765, ""recall"": 0.9039735603460093, ""f1-score"": 0.8486078789631366, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9093009442665771, ""recall"": 0.876249885331621, ""f1-score"": 0.882925981760248, ""support"": 10901}}",0.8486078789631366,0.9039735603460092,0.639502857986372,0.6381627017981373,10983,"{""artifact"": {""precision"": 0.9825979720471362, ""recall"": 0.8509552628456153, ""f1-score"": 0.9120508744038155, ""support"": 8427}, ""text"": {""precision"": 0.6591587516960651, ""recall"": 0.9503129890453834, ""f1-score"": 0.7784008972921006, ""support"": 2556}, ""accuracy"": 0.8740781207320404, ""macro avg"": {""precision"": 0.8208783618716007, ""recall"": 0.9006341259454993, ""f1-score"": 0.845225885847958, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9073261294524592, ""recall"": 0.8740781207320404, ""f1-score"": 0.880947410732911, ""support"": 10983}}",0.845225885847958,0.9006341259454994,0.6378225139924325,0.6409923831990454
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.1552487479930278,2.38846484375,903,6250,5,10901,"{""artifact"": {""precision"": 0.982642237222758, ""recall"": 0.8550707264444978, ""f1-score"": 0.9144285622716493, ""support"": 8342}, ""text"": {""precision"": 0.6680395387149918, ""recall"": 0.9507620164126612, ""f1-score"": 0.7847121432027091, ""support"": 2559}, ""accuracy"": 0.8775341711769562, ""macro avg"": {""precision"": 0.8253408879688748, ""recall"": 0.9029163714285795, ""f1-score"": 0.8495703527371792, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9087895351329155, ""recall"": 0.8775341711769562, ""f1-score"": 0.8839777489153133, ""support"": 10901}}",0.8495703527371792,0.9029163714285793,0.6398798139998689,0.6366811279003741,10983,"{""artifact"": {""precision"": 0.9803894865858641, ""recall"": 0.8542779162216685, ""f1-score"": 0.912999365884591, ""support"": 8427}, ""text"": {""precision"": 0.6626373626373626, ""recall"": 0.9436619718309859, ""f1-score"": 0.7785668173014848, ""support"": 2556}, ""accuracy"": 0.8750796685787126, ""macro avg"": {""precision"": 0.8215134246116134, ""recall"": 0.8989699440263272, ""f1-score"": 0.8457830915930379, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9064411638313917, ""recall"": 0.8750796685787126, ""f1-score"": 0.8817137795986564, ""support"": 10983}}",0.8457830915930379,0.8989699440263272,0.6369165950163733,0.6381167816987727
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0413189099926967,2.286951171875,134,6250,6,10901,"{""artifact"": {""precision"": 0.9822338520864895, ""recall"": 0.8549508511148406, ""f1-score"": 0.9141831699032237, ""support"": 8342}, ""text"": {""precision"": 0.6675824175824175, ""recall"": 0.9495896834701055, ""f1-score"": 0.7839974189385384, ""support"": 2559}, ""accuracy"": 0.8771672323640033, ""macro avg"": {""precision"": 0.8249081348344536, ""recall"": 0.9022702672924731, ""f1-score"": 0.849090294420881, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9083697092651043, ""recall"": 0.8771672323640033, ""f1-score"": 0.8836221813041384, ""support"": 10901}}",0.849090294420881,0.9022702672924731,0.6451279819884803,0.6415701563004405,10983,"{""artifact"": {""precision"": 0.9799700231639188, ""recall"": 0.8534472528776551, ""f1-score"": 0.9123430166180387, ""support"": 8427}, ""text"": {""precision"": 0.6610867178924259, ""recall"": 0.9424882629107981, ""f1-score"": 0.7770967741935484, ""support"": 2556}, ""accuracy"": 0.8741691705362834, ""macro avg"": {""precision"": 0.8205283705281723, ""recall"": 0.8979677578942267, ""f1-score"": 0.8447198954057935, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9057584481594633, ""recall"": 0.8741691705362834, ""f1-score"": 0.8808680648164365, ""support"": 10983}}",0.8447198954057935,0.8979677578942266,0.642895593016874,0.6412631903018337
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0701822059927508,2.284044921875,173,6250,7,10901,"{""artifact"": {""precision"": 0.983393301965126, ""recall"": 0.8518340925437545, ""f1-score"": 0.9128982528263104, ""support"": 8342}, ""text"": {""precision"": 0.6636734693877551, ""recall"": 0.9531066822977726, ""f1-score"": 0.7824831568816171, ""support"": 2559}, ""accuracy"": 0.8756077424089533, ""macro avg"": {""precision"": 0.8235333856764405, ""recall"": 0.9024703874207636, ""f1-score"": 0.8476907048539637, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9083393572292768, ""recall"": 0.8756077424089533, ""f1-score"": 0.8822834256982973, ""support"": 10901}}",0.8476907048539637,0.9024703874207636,0.6349261899886187,0.6346003566985019,10983,"{""artifact"": {""precision"": 0.9798850574712644, ""recall"": 0.8497686009255963, ""f1-score"": 0.9102001906577694, ""support"": 8427}, ""text"": {""precision"": 0.6555102040816326, ""recall"": 0.9424882629107981, ""f1-score"": 0.7732306210881078, ""support"": 2556}, ""accuracy"": 0.8713466266047528, ""macro avg"": {""precision"": 0.8176976307764485, ""recall"": 0.8961284319181972, ""f1-score"": 0.8417154058729386, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9043954712685968, ""recall"": 0.8713466266047528, ""f1-score"": 0.8783241804765751, ""support"": 10983}}",0.8417154058729386,0.8961284319181971,0.6347923289868049,0.6356960567005444
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.247782169986749,2.498505859375,993,6250,8,10901,"{""artifact"": {""precision"": 0.9824417009602194, ""recall"": 0.8585471110045553, ""f1-score"": 0.9163254861821902, ""support"": 8342}, ""text"": {""precision"": 0.6732207144835226, ""recall"": 0.949980461117624, ""f1-score"": 0.7880064829821718, ""support"": 2559}, ""accuracy"": 0.8800110081643886, ""macro avg"": {""precision"": 0.827831207721871, ""recall"": 0.9042637860610896, ""f1-score"": 0.852165984582181, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9098523509561954, ""recall"": 0.8800110081643886, ""f1-score"": 0.8862027149512162, ""support"": 10901}}",0.852165984582181,0.9042637860610896,0.6446896100242157,0.6413395385985495,10983,"{""artifact"": {""precision"": 0.980325644504749, ""recall"": 0.8573632372137178, ""f1-score"": 0.9147306450591886, ""support"": 8427}, ""text"": {""precision"": 0.6673124827013562, ""recall"": 0.9432707355242567, ""f1-score"": 0.7816501864159507, ""support"": 2556}, ""accuracy"": 0.8773559136847856, ""macro avg"": {""precision"": 0.8238190636030527, ""recall"": 0.9003169863689873, ""f1-score"": 0.8481904157375697, ""support"": 10983}, ""weighted avg"": {""precision"": 0.9074801886575787, ""recall"": 0.8773559136847856, ""f1-score"": 0.8837597216054768, ""support"": 10983}}",0.8481904157375697,0.9003169863689873,0.6393846760038286,0.6419188835978276
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.4696471880015451,2.3825654296875,688,6250,9,10901,"{""artifact"": {""precision"": 0.9847736625514403, ""recall"": 0.8605849916087269, ""f1-score"": 0.9185005117707268, ""support"": 8342}, ""text"": {""precision"": 0.677928551647743, ""recall"": 0.9566236811254396, ""f1-score"": 0.7935170178282008, ""support"": 2559}, ""accuracy"": 0.8831299880744886, ""macro avg"": {""precision"": 0.8313511070995916, ""recall"": 0.9086043363670833, ""f1-score"": 0.8560087647994639, ""support"": 10901}, ""weighted avg"": {""precision"": 0.9127420472131629, ""recall"": 0.8831299880744886, ""f1-score"": 0.8891607483546251, ""support"": 10901}}",0.8560087647994639,0.9086043363670833,0.6383866730029695,0.6371709619998001,10983,"{""artifact"": {""precision"": 0.982363315696649, ""recall"": 0.8592618962857482, ""f1-score"": 0.9166983162425624, ""support"": 8427}, ""text"": {""precision"": 0.6716500553709857, ""recall"": 0.9491392801251957, ""f1-score"": 0.7866407263294423, ""support"": 2556}, ""accuracy"": 0.8801784576163161, ""macro avg"": {""precision"": 0.8270066855338174, ""recall"": 0.904200588205472, ""f1-score"": 0.8516695212860024, ""support"": 10983}, ""weighted avg"": {""precision"": 0.910053100510234, ""recall"": 0.8801784576163161, ""f1-score"": 0.8864308847741171, ""support"": 10983}}",0.8516695212860024,0.904200588205472,0.6398244810116012,0.6392383009981131
