,train_samples,test_samples,params,classification_report,macro_f1,roc-auc,perf_runtime,timeit_runtime,perf_train_runtime
0,2819,1600,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.93      0.92       806
        text       0.93      0.91      0.92       794

    accuracy                           0.92      1600
   macro avg       0.92      0.92      0.92      1600
weighted avg       0.92      0.92      0.92      1600
",0.9205912202495514,0.9205220918676675,0.1138036859993008,0.11501219269994181,0.609483825006464
0,2819,1593,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.94      0.93       793
        text       0.94      0.92      0.93       800

    accuracy                           0.93      1593
   macro avg       0.93      0.93      0.93      1593
weighted avg       0.93      0.93      0.93      1593
",0.9322012257405516,0.9322462168978561,0.12053331799688749,0.12224835950037231,0.6098847059984109
0,2819,1570,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.94      0.94      0.94       810
        text       0.94      0.93      0.94       760

    accuracy                           0.94      1570
   macro avg       0.94      0.94      0.94      1570
weighted avg       0.94      0.94      0.94      1570
",0.9381350158897424,0.9380116959064327,0.11784306000481592,0.11960044340012246,0.5762632890036912
0,2819,1599,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.91      0.91       790
        text       0.91      0.92      0.91       809

    accuracy                           0.91      1599
   macro avg       0.91      0.91      0.91      1599
weighted avg       0.91      0.91      0.91      1599
",0.9136811716659625,0.9136690084648964,0.12085768399992958,0.124725057699834,0.5315399300015997
0,2819,1562,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.94      0.92      0.93       782
        text       0.92      0.94      0.93       780

    accuracy                           0.93      1562
   macro avg       0.93      0.93      0.93      1562
weighted avg       0.93      0.93      0.93      1562
",0.9276518388719808,0.9276690274772117,0.12088723800115986,0.12145982279980672,0.6528818020015024
0,2819,1598,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.94      0.93       812
        text       0.93      0.91      0.92       786

    accuracy                           0.92      1598
   macro avg       0.92      0.92      0.92      1598
weighted avg       0.92      0.92      0.92      1598
",0.9242147922998988,0.9240464282580629,0.1240135289990576,0.12317017139939708,0.5774558659977629
0,2819,1592,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.93      0.93       787
        text       0.93      0.92      0.93       805

    accuracy                           0.93      1592
   macro avg       0.93      0.93      0.93      1592
weighted avg       0.93      0.93      0.93      1592
",0.9271346433988261,0.9272115984120846,0.12012803700054064,0.1235595860001922,0.5975217469967902
0,2819,1576,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.91      0.94      0.92       777
        text       0.94      0.91      0.92       799

    accuracy                           0.92      1576
   macro avg       0.92      0.92      0.92      1576
weighted avg       0.93      0.92      0.92      1576
",0.9244916257708602,0.9247168677706848,0.1184411850044853,0.11845364979963051,0.5798663840032532
0,2819,1597,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.92      0.92       800
        text       0.92      0.92      0.92       797

    accuracy                           0.92      1597
   macro avg       0.92      0.92      0.92      1597
weighted avg       0.92      0.92      0.92      1597
",0.9192234174572274,0.9192291405269762,0.12677703400549944,0.12276203689980321,0.5534128600047552
0,2819,1572,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.93      0.92       784
        text       0.93      0.92      0.92       788

    accuracy                           0.92      1572
   macro avg       0.92      0.92      0.92      1572
weighted avg       0.92      0.92      0.92      1572
",0.9236639985755792,0.9236733398943333,0.12339726000209339,0.12369980900039082,0.6904505919956136
0,2819,1570,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.92      0.93      0.93       786
        text       0.93      0.92      0.92       784

    accuracy                           0.92      1570
   macro avg       0.92      0.92      0.92      1570
weighted avg       0.92      0.92      0.92      1570
",0.9248363732556082,0.9248325284312198,0.12290637099795276,0.12910823069978505,0.6285648929988383
0,2819,1599,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}","              precision    recall  f1-score   support

    artifact       0.93      0.94      0.93       793
        text       0.94      0.93      0.93       806

    accuracy                           0.93      1599
   macro avg       0.93      0.93      0.93      1599
weighted avg       0.93      0.93      0.93      1599
",0.933083176985616,0.9331448562014399,0.14116264499898534,0.13366572139930213,0.6072519130029832
