,target,doc
0,1,Catch v3.0.0-preview3 link error on std::string_view
1,1,**Describe the bug**
2,1,Building and linking with CMake against Catch2 v3.0.0.-preview3 and using C++17 `std::string_view` results in undefined symbols for stringifying `std::string_view`.
3,,
4,1,**Expected behavior**
5,1,Test code using C++17 `std::string_view` links against Catch2.
6,,
7,1,**Reproduction steps**
8,1,1. Use `add_subdirectory(projects/Catch2)`
9,1,2. Link against it using `target_link_libraries(MyTest Catch2::Catch2WithMain)` (or just Catch2)
10,1,3. Use `std::string_view` in a test so that it needs to be stringified (e.g. in a `REQUIRE`):
11,,
12,0,```
13,0,"REQUIRE(std::string_view{""Hello""} == std::string_view{""World""});"
14,0,```
15,,
16,1,**Platform information:**
17,1,<!-- Fill in any extra information that might be important for your issue. -->
18,1, - OS: **Windows NT**
19,1, - Compiler+version: **MSVC 16.7.5**
20,1, - Catch version: **v3.0.0-preview3**
21,,
22,,
23,1,**Additional context**
24,1,A workaround is to directly enable the C++17 target feature after adding the Catch2 subdir:
25,,
26,0,```
27,0,add_subdirectory(projects/Catch2)
28,0,target_compile_features(Catch2 PUBLIC cxx_std_17)
29,0,```
