,target,doc
0,1,Pokémon X/Y ‒ Absent of lighting on model in software renderer
1,1,*Hardware renderer*/*Software renderer* on left & right screenshot respectively.
2,0,![Both renderers](https://cloud.githubusercontent.com/assets/18496868/20865849/e27e06ee-ba57-11e6-82f7-e6f70cb8d8ef.png)
3,,
4,1,Notice there is one inconsistent diagonal line spacing (could be missing a diagonal line) on the bottom of the 3DS screen using the software renderer mode.
5,,
6,1,Log:
7,0,`Render.OpenGL <Error> video_core\renderer_opengl\renderer_opengl.cpp:DebugHandler:483: API ERROR 1282: GL_INVALID_OPERATION error generated. Texture name does not refer to a texture object generated by OpenGL.`
8,,
9,1,Tested this on commit 4f0f88b
10,,
11,1,**OS:** _Windows 10 build 14393.447 (codename Redstone 1)_
12,1,**GPU:** _nVidia GT 610 2GB DDR3 (Asus)_
13,1,**Driver:** _Version 375.95_
14,1,**OpenGL:** _Version 4.5_
