,target,doc
0,1,Owning groups don't correctly swap values (not released yet)
1,1,"As reported on Discord by @andranik3949 (a very good catch, thanks! 🙂), here it is a small example to reproduce the issue:"
2,0,```
3,0,entt::registry registry;
4,,
5,0,constexpr auto size = 5;
6,0,entt::entity entities[ size ];
7,,
8,0,const auto group = registry.group< Index >( entt::get< Value > );
9,,
10,0,for( int i = 0; i < size; ++i ) {
11,0,    entities[ i ] = registry.create();
12,0,"    registry.emplace< Index >( entities[ i ], i );"
13,0,"    registry.emplace< Value >( entities[ i ], (float)i );"
14,0,}
15,,
16,0,"std::vector< std::tuple< entt::entity, Index, Value > > beforeDestroy;"
17,0,"registry.view< Index, Value >().each([ & ]( const entt::entity entity, const auto& index, const auto& value ) {"
18,0,"    beforeDestroy.emplace_back( std::make_tuple( entity, index, value ) );"
19,0,});
20,,
21,0,registry.destroy( entities[ size / 2 ] );
22,,
23,0,"std::vector< std::tuple< entt::entity, Index, Value > > afterDestroy;"
24,0,"registry.view< Index, Value >().each([ & ]( const entt::entity entity, const auto& index, const auto& value ) {"
25,0,"    afterDestroy.emplace_back( std::make_tuple( entity, index, value ) );"
26,0,});
27,0,```
28,1,"Introduced with [this](https://github.com/skypjack/entt/commit/169b816613ab3bb253c2bc2ac11a75f1f7f4f33c) commit, it hasn't entered any release yet (fortunately). It affects both `master` and `experimental`."
