,target,doc
0,1,Image optimization
1,1,🙋 **Feature request**
2,,
3,1,Is it possible to add image optimizers?
4,1,I assume [webpack's image loader](https://github.com/tcoopman/image-webpack-loader) (or [another](https://www.npmjs.com/package/imagemin-webpack-plugin)) does it.
5,,
6,1,### 🤔 Expected Behavior
7,,
8,1,"When importing images, they will be piped through image optimizers."
9,,
10,1,### 😯 Current Behavior
11,,
12,1,Not optimized.
13,,
14,1,### 🔦 Context
15,,
16,1,"Possible option can be,"
17,,
18,1,"--optimize-image [quality] (If quality is not specified, does it losslessly)"
19,,
20,1,### 🌍 Your Environment
21,,
22,1,<!--- Include as many relevant details about the environment you experienced the bug in -->
23,,
24,0,| Software         | Version(s) |
25,0,| ---------------- | ---------- |
26,0,| Parcel           | 1.4.1
27,0,| Node             | 8.9.4
28,0,| npm         | 5.6.0
29,0,| Operating System | Ubuntu 16.04.3
