,target,doc
0,1,Enable the twig.controller.preview_error service only when needed
1,1,| Q                | A
2,0,| ---------------- | -----
3,1,| Bug report?      | yes
4,1,| Feature request? | no
5,1,| BC Break report? | no
6,1,| Symfony version  | 3.x
7,,
8,1,"Although I don't load the Twig error preview URLs in production, in the dumped container I can see the following service:"
9,,
10,0,```php
11,0,"'twig.controller.preview_error' => 'getTwig_Controller_PreviewErrorService',"
12,,
13,0,// ...
14,,
15,0,protected function getTwig_Controller_PreviewErrorService()
16,0,{
17,0,"    return $this->services['twig.controller.preview_error'] = new \Symfony\Bundle\TwigBundle\Controller\PreviewErrorController(${($_ = isset($this->services['http_kernel']) ? $this->services['http_kernel'] : $this->get('http_kernel')) && false ?: '_'}, 'twig.controller.exception:showAction');"
18,0,}
19,0,```
20,,
21,1,Should TwigBundle load this service conditionally?
22,,
23,0,```xml
24,0,"<service id=""twig.controller.preview_error"" class=""Symfony\Bundle\TwigBundle\Controller\PreviewErrorController"">"
25,0,"    <argument type=""service"" id=""http_kernel"" />"
26,0,    <argument>%twig.exception_listener.controller%</argument>
27,0,</service>
28,0,```
