,target,doc
0,1,Crash on Linux Mint on reindexing
1,1,"Hey,"
2,,
3,1,I changed the project options and excluded external libs like curl...etc.
4,,
5,1,During the reindexing the whole application crashes .
6,,
7,1,This is the shell output:
8,,
9,0,```
10,0,EventManager.cpp.
11,0,18:55:20 | PersistentStorage.cpp:352 logStats() | WARNING:
12,0,Graph:
13,0,        4873 Nodes
14,0,        12573 Edges
15,,
16,0,Code:
17,0,        267 Files
18,0,        56990 Lines of Code
19,,
20,0,Errors:
21,0,        149 Errors
22,0,        12 Fatal Errors
23,,
24,0,18:56:16 | SqliteStorage.cpp:30 ~SqliteStorage() | ERROR: CPPSQLITE_ERROR[1000]: Unable to close database
25,0,Segmentation fault
26,0,```
27,,
28,1,Maybe you should auto create dumps on app crashes.
29,,
30,1,Let me know if you need more informations.
31,,
32,1,Bye Daniel
