,target,doc
0,1,Dropping old transaction (nonce too low)
1,0,develop ce205
2,,
3,1,"I'm trying to track down these transactions but did they get lost by ""Dropping old transaction (nonce too low)"" ?"
4,0,72a71e6f
5,0,b9b05189
6,,
7,1,"If the tx were dropped, the transaction count keeps incrementing however."
8,,
9,0,```
10,0,ℹ  02:48:01|eth  88518
11,0,  ℹ  02:48:01|eth  noteChanged: { pending }
12,0,  ◇  02:48:09|libmicrohttpd  submitTx: @cd2a3d9f… postMine= 13872 ; tq= 0
13,0,  ℹ  02:48:09|libmicrohttpd  New transaction 72a71e6f…{9dbe0ff2…/516$0+900000@10000000000000<-cd2a3d9f… #13872} (maxNonce for sender @cd2a3d9f… is 13873 )
14,0,  ℹ  02:48:09|eth  Post state changed
15,0,  ℹ  02:48:09|eth  1432201689
16,0,  ℹ  02:48:09|eth  1432113162
17,0,  ℹ  02:48:09|eth  88526
18,0,  ℹ  02:48:09|eth  noteChanged: { pending }
19,0,⧫ ℹ  02:48:12|eth  Resubmitting post-mine transaction 6a4b4a63…{5a219cab…/4$0+2097151@10000000000000<-47599668… #21123}
20,0,⧫ ℹ  02:48:12|eth  Resubmitting post-mine transaction 72a71e6f…{9dbe0ff2…/516$0+900000@10000000000000<-cd2a3d9f… #13872}
21,0,  ℹ  02:48:12|eth  Post state changed
22,0,  ℹ  02:48:12|eth  1432201692
23,0,  ℹ  02:48:12|eth  1432113162
24,0,  ℹ  02:48:12|eth  88530
25,0,"  ℹ  02:48:12|eth  noteChanged: { pending , chain }"
26,0,  ℹ  02:48:13|eth  Post state changed
27,0,  ℹ  02:48:13|eth  1432201693
28,0,  ℹ  02:48:13|eth  1432113162
29,0,  ℹ  02:48:13|eth  88530
30,0,  ℹ  02:48:13|eth  noteChanged: { pending }
31,0,⧎ ℹ  02:48:19|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  Not syncing and new block hash discovered: syncing without help.
32,0,⧎ ℹ  02:48:19|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  Finishing blocks fetch...
33,0,⧎ ℹ  02:48:19|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  Chain download complete.
34,0,⧎ ℹ  02:48:19|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  No more peers to sync with.
35,0,⧫ ℹ  02:48:19|eth  Safely dropping transaction #72a71e6f…
36,0,⧫ ℹ  02:48:19|eth  Safely dropping transaction #6a4b4a63…
37,0,⧫ ℹ  02:48:19|eth  Resubmitting post-mine transaction 72a71e6f…{9dbe0ff2…/516$0+900000@10000000000000<-cd2a3d9f… #13872}
38,0,⧫ ℹ  02:48:19|eth  Resubmitting post-mine transaction 6a4b4a63…{5a219cab…/4$0+2097151@10000000000000<-47599668… #21123}
39,0,  ℹ  02:48:19|eth  Post state changed
40,0,  ℹ  02:48:19|eth  1432201699
41,0,  ℹ  02:48:19|eth  1432113162
42,0,  ℹ  02:48:19|eth  88537
43,0,"  ℹ  02:48:19|eth  noteChanged: { pending , chain }"
44,0,  ℹ  02:48:19|eth  #6a4b4a63… Dropping old transaction (nonce too low)
45,0,  ℹ  02:48:19|eth  #72a71e6f… Dropping old transaction (nonce too low)
46,0,  ℹ  02:48:31|eth  Post state changed
47,0,  ℹ  02:48:31|eth  1432201711
48,0,  ℹ  02:48:31|eth  1432113162
49,0,  ℹ  02:48:31|eth  88548
50,0,  ℹ  02:48:31|eth  noteChanged: { pending }
51,0,⧎ ℹ  02:48:43|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  Not syncing and new block hash discovered: syncing without help.
52,0,⧫ ℹ  02:48:43|eth  Resubmitting post-mine transaction 71164ad6…{5a219cab…/4$0+2097151@10000000000000<-47599668… #21124}
53,0,  ℹ  02:48:43|eth  Post state changed
54,0,  ℹ  02:48:43|eth  1432201723
55,0,  ℹ  02:48:43|eth  1432113162
56,0,  ℹ  02:48:43|eth  88560
57,0,"  ℹ  02:48:43|eth  noteChanged: { pending , chain }"
58,0,  ℹ  02:48:43|eth  Post state changed
59,0,  ℹ  02:48:43|eth  1432201723
60,0,  ℹ  02:48:43|eth  1432113162
61,0,  ℹ  02:48:43|eth  88560
62,0,  ℹ  02:48:43|eth  noteChanged: { pending }
63,0,⧎ ℹ  02:48:43|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  Finishing blocks fetch...
64,0,⧎ ℹ  02:48:43|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  Chain download complete.
65,0,⧎ ℹ  02:48:43|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  No more peers to sync with.
66,0,  ℹ  02:48:48|eth  Post state changed
67,0,  ℹ  02:48:48|eth  1432201728
68,0,  ℹ  02:48:48|eth  1432113162
69,0,  ℹ  02:48:48|eth  88565
70,0,  ℹ  02:48:48|eth  noteChanged: { pending }
71,0,⧎ ℹ  02:48:53|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  Not syncing and new block hash discovered: syncing without help.
72,0,⧫ ℹ  02:48:53|eth  Safely dropping transaction #71164ad6…
73,0,⧫ ℹ  02:48:53|eth  Resubmitting post-mine transaction 71164ad6…{5a219cab…/4$0+2097151@10000000000000<-47599668… #21124}
74,0,⧫ ℹ  02:48:53|eth  Resubmitting post-mine transaction cdfa5344…{f1d41368…/68$0+3000000@10000000000000<-63524e3f… #4112}
75,0,  ℹ  02:48:53|eth  Post state changed
76,0,  ℹ  02:48:53|eth  1432201733
77,0,  ℹ  02:48:53|eth  1432113162
78,0,  ℹ  02:48:53|eth  88570
79,0,"  ℹ  02:48:53|eth  noteChanged: { pending , chain }"
80,0,  ℹ  02:48:53|eth  #71164ad6… Dropping old transaction (nonce too low)
81,0,  ℹ  02:48:53|eth  #71164ad6… Dropping old transaction (nonce too low)
82,0,  ℹ  02:48:53|eth  Post state changed
83,0,  ℹ  02:48:53|eth  1432201733
84,0,  ℹ  02:48:53|eth  1432113162
85,0,  ℹ  02:48:53|eth  88570
86,0,  ℹ  02:48:53|eth  noteChanged: { pending }
87,0,⧎ ℹ  02:48:53|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  Finishing blocks fetch...
88,0,⧎ ℹ  02:48:53|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  Chain download complete.
89,0,⧎ ℹ  02:48:53|p2p|6274ae0d…|++eth/v0.9.23/Release/Linux/g++/int  No more peers to sync with.
90,0,⧫ ℹ  02:48:57|eth  Safely dropping transaction #cdfa5344…
91,0,⧫ ℹ  02:48:57|eth  Resubmitting post-mine transaction cdfa5344…{f1d41368…/68$0+3000000@10000000000000<-63524e3f… #4112}
