,target,doc
0,1,Cards Extension Activation Option missing from elementor
1,1,I cannot seem to activate my cards plugin with elementor:
2,,
3,1,Path:
4,0,![image](https://user-images.githubusercontent.com/33286586/86474516-db1bb380-bd3a-11ea-975a-63c24a596d0b.png)
5,,
6,1,Files:
7,0,![image](https://user-images.githubusercontent.com/33286586/86474525-e4a51b80-bd3a-11ea-874f-e80616c1fabf.png)
8,,
9,1,Elementor:
10,0,![image](https://user-images.githubusercontent.com/33286586/86474683-406fa480-bd3b-11ea-9d85-e404f3998aef.png)
11,,
12,1,Any ideas?
