,target,doc
0,1,"apt force-remove does not respect `Yes, do as I say!`"
1,1,### Summary
2,,
3,1,"With the latest apt version in Ubuntu 21.04, we were facing the issue that specific packages like `grub-amd64-efi-signed` can not be removed because apt requires to type in `Yes, do as I say!` (it is an essential package now)."
4,,
5,1,### Issue Type
6,,
7,1,Bug Report
8,,
9,1,### Component Name
10,,
11,0,apt
12,,
13,1,### Ansible Version
14,,
15,0,```console
16,0,$ ansible --version
17,0,ansible [core 2.11.3]
18,0,  config file = /home/toms/git/xxx/xxx/buildimage/ansible.cfg
19,0,"  configured module search path = ['/home/toms/.ansible/plugins/modules', '/usr/share/ansible/plugins/modules']"
20,0,  ansible python module location = /usr/local/lib/python3.9/site-packages/ansible
21,0,  ansible collection location = /home/toms/.ansible/collections:/usr/share/ansible/collections
22,0,  executable location = /usr/local/bin/ansible
23,0,"  python version = 3.9.6 (default, Jun 29 2021, 00:00:00) [GCC 11.1.1 20210531 (Red Hat 11.1.1-3)]"
24,0,  jinja version = 2.11.3
25,0,  libyaml = True
26,0,```
27,,
28,,
29,1,### Configuration
30,,
31,0,```console
32,0,$ ansible-config dump --only-changed
33,0,DEFAULT_LOG_PATH(/home/toms/git/xxx/xxx/buildimage/ansible.cfg) = /home/toms/git/xxx/xxx/buildimage/log/ansible.log
34,0,DEFAULT_ROLES_PATH(/home/toms/git/xxx/xxx/buildimage/ansible.cfg) = ['/home/toms/git/xxx/xxx/buildimage/roles']
35,0,HOST_KEY_CHECKING(/home/toms/git/xxx/xxx/buildimage/ansible.cfg) = False
36,0,```
37,,
38,,
39,1,### OS / Environment
40,,
41,1,Target OS: Ubuntu 21.04 using packer.io
42,,
43,1,### Steps to Reproduce
44,,
45,0,`tasks/main.yml`:
46,0,```yaml
47,0,- name: remove unneeded packages
48,0,  apt:
49,0,"    name: ""{{ apt_updates.remove[ansible_distribution | lower] }}"""
50,0,    state: absent
51,0,    purge: true
52,0,    force: true
53,0,    autoremove: true
54,0,```
55,,
56,0,`defaults/main.yml`:
57,0,```yaml
58,0,apt_updates:
59,0,  remove:
60,0,    ubuntu:
61,0,      - grub-efi-amd64-signed
62,0,      - busybox
63,0,      - debian-faq
64,0,```
65,,
66,1,### Expected Results
67,,
68,1,The packages will be removed.
69,,
70,1,### Actual Results
71,,
72,0,```console
